,feat name,PCA imp weight
0,166,7.466123495573264
1,334,6.33299349624237
2,66,5.4243025858107945
3,287,5.128342453086906
4,323,4.852189159391123
5,296,4.200784694567393
6,0,3.8471492355479633
7,221,3.282017668978347
8,302,3.2135987179077015
9,302,2.933275806060148
10,346,2.6607629290766885
11,107,2.464635573170916
12,255,2.459741039870964
13,515,2.241123705663638
14,401,2.054023767288015
15,35,1.89859865828534
16,207,1.8499943912675039
17,60,1.6792829126780526
18,35,1.54200437357588
19,56,1.329171673518525
20,56,1.2943809821683485
21,270,1.1626009401580408
22,566,1.055412610578241
23,217,1.0065238211834249
24,407,0.969313211590476
25,113,0.8986953084485713
26,329,0.8823052674405373
27,282,0.8246236892616985
28,193,0.7342913045393635
29,397,0.728070132225593
30,406,0.7168407182075698
31,238,0.6815074380492627
32,77,0.6675438974986463
33,18,0.6583879145774393
34,37,0.6243668681778537
35,349,0.6197559932937824
36,1,0.5996979429389111
37,428,0.5758856251433249
38,99,0.5606770005885584
39,428,0.5508446269502196
40,529,0.5217590345815923
41,529,0.49211149339419036
42,23,0.47479804570169926
43,19,0.4609859397830967
44,494,0.43972151564676065
45,8,0.4363849148263884
46,546,0.4304749308029732
47,402,0.42248595342407275
48,417,0.4101257978960186
49,193,0.39799842788171635
50,388,0.3904774896485719
51,480,0.3744911322354124
52,546,0.36190761939639193
53,546,0.34802902940436287
54,424,0.34187184400259213
55,546,0.33493322008771204
56,309,0.3228785524822717
57,542,0.31950247754975536
58,254,0.2882978182828532
59,75,0.2826803066596032
60,431,0.28074098217984467
61,420,0.27073078895657604
62,309,0.2615731220863561
63,151,0.25076158768621937
64,57,0.23834072357283304
65,57,0.23700433041088106
66,309,0.22370767355400892
67,367,0.21457780888946063
68,202,0.2105436299222444
69,458,0.20352700128995865
70,458,0.2018000971950644
71,458,0.19539458125640569
72,115,0.19442012068717174
73,111,0.18615492667483538
74,248,0.18124187329739086
75,63,0.17988362485016696
76,111,0.17478275268330484
77,301,0.17003379986351344
78,254,0.16866530199399507
79,63,0.1632738809699596
80,63,0.15905105959082233
81,403,0.15294759029214558
82,257,0.151601735774823
83,248,0.14513445449556783
84,403,0.14393597264403454
85,139,0.13843827212497137
86,420,0.13431549415935617
87,10,0.13086175401914235
88,118,0.12630609457352307
89,118,0.12200082814056312
90,71,0.11939834791234055
91,118,0.1140114640469922
92,24,0.11342073798671028
93,350,0.10857247432433362
94,350,0.10618981246014922
95,460,0.10197792076516482
96,202,0.09923355775052328
97,10,0.09592112267896342
98,313,0.0927213894773326
99,332,0.09026103094272712
